index,Paper Title,Year,Author,Citation,Publisher,Xref-Year,DOI,Authors,References,Type,Outlet,Abstract,Xref-Title,Xref-DOI
482,"""UTTAM"" An Efficient Spelling Correction System for Hindi Language Based on Supervised Learning",2018,A Jain,10,Association for Computing Machinery (ACM),2019,10.1145/3264620,"[{""given"": ""Amita"", ""family"": ""Jain"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Ambedkar Institute of Advanced Communication Technologies and Research, Computer Science, Delhi, India""}]}, {""given"": ""Minni"", ""family"": ""Jain"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Delhi Technological University, Computer Science and Engineering, Delhi, India""}]}, {""given"": ""Goonjan"", ""family"": ""Jain"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Delhi Technological University, Delhi, IN, Department of Applied Mathematics, Delhi, India""}]}, {""given"": ""Devendra K."", ""family"": ""Tayal"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Indira Gandhi Delhi Technical University for Women, Computer science 8 Engineering, Delhi, India""}]}]",54,journal-article,ACM Transactions on Asian and Low-Resource Language Information Processing,in this article we propose a system called uttam for correcting spelling errors in hindi language text using supervised learning unlike other languages hindi contains a large set of characters words with inflections and complex characters phonetically similar sets of characters and so on the complexity increases the possibility of confusion and occasionally leads to entering a wrong character in a word the existence of spelling errors in text significantly decreases the accuracy of the available resources like search engine text editor and so on the proposed work is the first approach to correct non word out of vocabulary errors as well as real word errors simultaneously in a sentence of hindi language the proposed method investigates the human behavior i e the type and frequency of spelling errors done by humans in hindi text based on the type and frequency of spelling errors the heterogeneous data is collected in matrices this data in matrices is used to generate the suitable candidate words for an input word after generating candidate words the viterbi algorithm is applied to perform the word correction the viterbi algorithm finds the best sequence of candidate words to correct the input sentence for hindi this work is the first attempt for real word error correction for non word errors the experiments show that uttam performs better than the existing systems spellguru and saksham , uttam ,10.1145/3264620
483,"""I Hope This Is Helpful"" Understanding Crowdworkers' Challenges and Motivations for an Image Description Task",2020,RN Simons,16,Association for Computing Machinery (ACM),2020,10.1145/3415176,"[{""given"": ""Rachel N."", ""family"": ""Simons"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Texas Woman's University, Denton, TX, USA""}]}, {""given"": ""Danna"", ""family"": ""Gurari"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""The University of Texas at Austin, Austin, TX, USA""}]}, {""given"": ""Kenneth R."", ""family"": ""Fleischmann"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""The University of Texas at Austin, Austin, TX, USA""}]}]",108,journal-article,Proceedings of the ACM on Human-Computer Interaction,, i hope this is helpful ,10.1145/3415176
484,Pilot Study for Computer Typing Assistance to BCI based Keyboard,2022,S Hossain,0,Institute of Electrical and Electronics Engineers (IEEE),2022,10.36227/techrxiv.19450601,"[{""given"": ""Saidur"", ""family"": ""Hossain"", ""sequence"": ""first"", ""affiliation"": []}]",0,posted-content,,when compared to conventional keyboards virtual touch screen keyboards provide less accuracy and agility furthermore people are still unable to perceive the controls the fundamental purpose of this research is to develop a key template that fits precisely with human finger motors and operates well with cognitive processing brain reaction time variability was utilized to compute the time and human psychological variables were considered for this assembly pattern surface the interface design also validates external bci aspects such as human long term and short term cognition computer vision eye gazing and hue personal integrity to adjust with the reader so that the viewer may acclimatize with the interface and operate error less high speed fluent typing,pilot study for computer typing assistance to bci based keyboard,10.36227/techrxiv.19450601
486,2-Thumbs Typing: A Novel Bimanual Text Entry Method in Virtual Reality Environments,2021,Z Zhang,2,IEEE,2021,10.1109/vrw52623.2021.00147,"[{""given"": ""Zigang"", ""family"": ""Zhang"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Jilin University,College of Software,Changchun,China,130022""}]}, {""given"": ""Minghui"", ""family"": ""Sun"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Jilin University,Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education,Changchun,China,130022""}]}, {""given"": ""BoYu"", ""family"": ""Gao"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Jinan University,College of Information Science and Technology/Cyber Security,Guangzhou,China,510000""}]}, {""given"": ""Limin"", ""family"": ""Wang"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Jilin University,Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education,Changchun,China,130022""}]}]",9,proceedings-article,2021 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),,2 thumbs typing a novel bimanual text entry method in virtual reality environments,10.1109/vrw52623.2021.00147
487,A 2-by-6-Button Japanese Software Keyboard for Tablets.,2018,K Takei,4,SCITEPRESS - Science and Technology Publications,2018,10.5220/0006652701470154,"[{""given"": ""Kei"", ""family"": ""Takei"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Hosei University, Japan""}]}, {""given"": ""Hiroshi"", ""family"": ""Hosobe"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Hosei University, Japan""}]}]",0,proceedings-article,"Proceedings of the 13th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",,a 2 by 6 button japanese software keyboard for tablets,10.5220/0006652701470154
488,A Bangla spell checking technique to facilitate error correction in text entry environment,2019,T Mittra,1,IEEE,2019,10.1109/icasert.2019.8934461,"[{""given"": ""Tanni"", ""family"": ""Mittra"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Sadia"", ""family"": ""Nowrin"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Linta"", ""family"": ""Islam"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Deepak Chandra"", ""family"": ""Roy"", ""sequence"": ""additional"", ""affiliation"": []}]",20,proceedings-article,"2019 1st International Conference on Advances in Science, Engineering and Robotics Technology (ICASERT)",,a bangla spell checking technique to facilitate error correction in text entry environment,10.1109/icasert.2019.8934461
489,A capacitive-sensing physical keyboard for vr text entry,2019,T Menzner,8,IEEE,2019,10.1109/vr.2019.8797754,"[{""given"": ""Tim"", ""family"": ""Menzner"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Alexander"", ""family"": ""Otte"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Travis"", ""family"": ""Gesslein"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Jens"", ""family"": ""Grubert"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Philipp"", ""family"": ""Gagel"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Daniel"", ""family"": ""Schneider"", ""sequence"": ""additional"", ""affiliation"": []}]",15,proceedings-article,2019 IEEE Conference on Virtual Reality and 3D User Interfaces (VR),,a capacitive sensing physical keyboard for vr text entry,10.1109/vr.2019.8797754
490,A Comparative Evaluation of Spatial Targeting Behaviour Patterns for Finger and Stylus Tapping on Mobile Touchscreen Devices,2018,D Buschek,4,Association for Computing Machinery (ACM),2018,10.1145/3161160,"[{""given"": ""Daniel"", ""family"": ""Buschek"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""LMU Munich, Amalienstrasse, Munich, Germany""}]}, {""given"": ""Julia"", ""family"": ""Kinshofer"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""LMU Munich, Amalienstrasse, Munich, Germany""}]}, {""given"": ""Florian"", ""family"": ""Alt"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""LMU Munich, Amalienstrasse, Munich, Germany""}]}]",73,journal-article,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",models of 2d targeting error patterns have been applied as a valuable computational tool for analysing finger touch behaviour on mobile devices improving touch accuracy and inferring context however their use in stylus input is yet unexplored this paper presents the first empirical study and analyses of such models for tapping with a stylus in a user study n 28 we collected targeting data on a smartphone both for stationary use sitting and walking we compare targeting patterns between index finger input and three stylus variations two stylus widths and nib types as well as the addition of a hover cursor our analyses reveal that stylus targeting patterns are user specific and that offset models improve stylus tapping accuracy but less so than for finger touch input method has a stronger influence on targeting patterns than mobility and stylus width is more influential than the hover cursor stylus models improve finger accuracy as well but not vice versa the extent of the stylus accuracy advantage compared to the finger depends on screen location and mobility we also discuss patterns related to mobility and gliding of the stylus on the screen we conclude with implications for target sizes and offset model applications ,a comparative evaluation of spatial targeting behaviour patterns for finger and stylus tapping on mobile touchscreen devices,10.1145/3161160
491,A comparative study of text entry performance of low-profile versus high-profile keyboards,2020,C Arntzen,0,ACM,2020,10.1145/3389189.3393749,"[{""given"": ""Camilla"", ""family"": ""Arntzen"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""OsloMet, Oslo, Norway""}]}, {""given"": ""Jan F. E."", ""family"": ""Kopperud"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""OsloMet, Oslo, Norway""}]}, {""given"": ""Thomas"", ""family"": ""Horn"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""OsloMet, Oslo, Norway""}]}, {""given"": ""Frode Eika"", ""family"": ""Sandnes"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""OsloMet, Oslo, Norway""}]}]",9,proceedings-article,Proceedings of the 13th ACM International Conference on PErvasive Technologies Related to Assistive Environments,,a comparative study of text entry performance of low profile versus high profile keyboards,10.1145/3389189.3393749
492,A comprehensive review and evaluation on text predictive and entertainment systems,2022,HK Hamarashid,0,Springer Science and Business Media LLC,2022,10.1007/s00500-021-06691-4,"[{""given"": ""Hozan K."", ""family"": ""Hamarashid"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Soran A."", ""family"": ""Saeed"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Tarik A."", ""family"": ""Rashid"", ""sequence"": ""additional"", ""affiliation"": []}]",71,journal-article,Soft Computing,,a comprehensive review and evaluation on text predictive and entertainment systems,10.1007/s00500-021-06691-4
